DonorID	ColID	ID	Selector	group	Reference
LUP1005	C1	LUP1005.C1.C2.V1	V1	LUAD	NA
LUP1007	C1	LUP1007.C1.C2.V1	V1	LUAD	NA
LUP1008	C1	LUP1008.C1.C2.V1	V1	LUAD	NA
LUP1034	C1	LUP1034.C1.C2.V1	V1	LUAD	NA
LUP1048	C1	LUP1048.pC1.V2	V2	LUAD	NA
LUP1064	C1	LUP1064.C1.C1.V1	V1	LUAD	NA
LUP1065	C1	LUP1065.C1.C1.V1	V1	LUAD	NA
LUP1066	C1	LUP1066.C1.C1.V1	V1	LUAD	NA
LUP1073	C1	LUP1073.C1.C1.V1	V1	LUAD	NA
LUP1074	C1	LUP1074.C1.C1.V1	V1	LUAD	NA
LUP1075	C1	LUP1075.C1.C1.V1	V1	LUAD	NA
LUP1077	C1	LUP1077.C1.C1.V1	V1	LUAD	NA
LUP116	C1	LUP116.C1.C2.V1	V1	LUAD	NA
LUP1163	C1	LUP1163.C1.C1.V1	V1	LUAD	NA
LUP1164	C1	LUP1164.C1.C1.V1	V1	LUAD	NA
LUP1165	C1	LUP1165.C1.C1.V1	V1	LUAD	NA
LUP1166	C1	LUP1166.C1.C1.V1	V1	LUAD	NA
LUP1170	C1	LUP1170.C1.C1.V1	V1	LUAD	NA
LUP1171	C1	LUP1171.C1.C1.V1	V1	LUAD	NA
LUP1172	C1	LUP1172.C1.C1.V1	V1	LUAD	NA
LUP1173	C1	LUP1173.C1.C1.V1	V1	LUAD	NA
LUP1174	C1	LUP1174.C1.C1.V1	V1	LUAD	NA
LUP1179	C1	LUP1179.C1.C1.V1	V1	LUAD	NA
LUP1414	C1	LUP1414.C1.C1.V2	V2	LUAD	NA
LUP1423	C1	LUP1423.C1.C1.V2	V2	LUAD	NA
LUP1424	C0	LUP1424.C0.C1.V2	V2	LUAD	NA
LUP1426	C1	LUP1426.pC1.V2	V2	LUAD	NA
LUP1443	C2	LUP1443.P2.C2.V2	V2	LUAD	NA
LUP1445	C1	LUP1445.C1.C1.V1	V1	LUAD	NA
LUP1446	C1	LUP1446.C1.C1.V1	V1	LUAD	NA
LUP1456	C1	LUP1456.C1.C1.V1	V1	LUAD	NA
LUP1458	C1	LUP1458.C1.C1.V1	V1	LUAD	NA
LUP1460	C1	LUP1460.C1.C1.V1	V1	LUAD	NA
LUP1465	C1	LUP1465.C1.C1.V2	V2	LUAD	NA
LUP1466	C1	LUP1466.C1.C1.V1	V1	LUAD	NA
LUP1467	C1	LUP1467.C1.C1.V2	V2	LUAD	NA
LUP1469	C1	LUP1469.C1.C1.V2	V2	LUAD	NA
LUP1470	C1	LUP1470.C1.C1.V1	V1	LUAD	NA
LUP1471	C1	LUP1471.C1.C1.V2	V2	LUAD	NA
LUP1474	C1	LUP1474.C1.C1.V1	V1	LUAD	NA
LUP1475	C1	LUP1475.C1.C1.V2	V2	LUAD	NA
LUP1476	C1	LUP1476.C1.C1.V1	V1	LUAD	NA
LUP1478	C1	LUP1478.C1.C1.V1	V1	LUAD	NA
LUP1479	C1	LUP1479.C1.C1.V2	V2	LUAD	NA
LUP1481	C1	LUP1481.C1.C1.V2	V2	LUAD	NA
LUP1483	C1	LUP1483.C1.C1.V2	V2	LUAD	NA
LUP1488	C1	LUP1488.C1.C1.V1	V1	LUAD	NA
LUP1489	C1	LUP1489.C1.C1.V1	V1	LUAD	NA
LUP1490	C1	LUP1490.pC1.V2	V2	LUAD	NA
LUP1491	C1	LUP1491.pC1.V2	V2	LUAD	NA
LUP1492	C1	LUP1492.pC1.V2	V2	LUAD	NA
LUP1493	C1	LUP1493.pC1.V2	V2	LUAD	NA
LUP1494	C1	LUP1494.pC1.V2	V2	LUAD	NA
LUP1495	C1	LUP1495.pC1.V2	V2	LUAD	NA
LUP1496	C1	LUP1496.pC1.V2	V2	LUAD	NA
LUP1498	C1	LUP1498.pC1.V2	V2	LUAD	NA
LUP1499	C1	LUP1499.pC1.V2	V2	LUAD	NA
LUP1500	C1	LUP1500.pC1.V2	V2	LUAD	NA
LUP1501	C1	LUP1501.pC1.V2	V2	LUAD	NA
LUP1502	C1	LUP1502.pC1.V2	V2	LUAD	NA
LUP1535	C1	LUP1535.C1.C1.V2	V2	LUAD	NA
LUP1538	C1	LUP1538.C1.C1.V2	V2	LUAD	NA
LUP1540	C1	LUP1540.C1.C1.V2	V2	LUAD	NA
LUP1541	C1	LUP1541.C1.C1.V2	V2	LUAD	NA
LUP1544	C1	LUP1544.C1.C1.V2	V2	LUAD	NA
LUP1554	C1	LUP1554.C1.C1.V2	V2	LUAD	NA
LUP1612	C1	LUP1612.P1.C1.V2	V2	LUAD	NA
LUP1614	C1	LUP1614.P1.C1.V2	V2	LUAD	NA
LUP1615	C1	LUP1615.P1.C1.V2	V2	LUAD	NA
LUP1619	C1	LUP1619.P1.C1.V2	V2	LUAD	NA
LUP1620	C1	LUP1620.P1.C1.V2	V2	LUAD	NA
LUP1628	C1	LUP1628.P1.C1.V2	V2	LUAD	NA
LUP1629	C1	LUP1629.P1.C1.V2	V2	LUAD	NA
