gene_id_simplified	V1	V1V2shared	baseMean	log2FoldChange	lfcSE	pvalue	padj	lfc	contrast
ENSG00000000005	yes	yes	7.96896126791219	-0.0473689310486131	0.154271275611369	0.66310537193746	0.870537784904856	-0.0473689310486131	ControlvsLUAD
ENSG00000001626	yes	yes	5.04792729839876	-0.67042414079849	0.288131231936706	0.000292765902848845	0.0069597735529093	-0.67042414079849	ControlvsLUAD
ENSG00000002726	yes	yes	11.2892100500186	-0.133928240666522	0.153665544047754	0.224966166729485	0.545151982008774	-0.133928240666522	ControlvsLUAD
ENSG00000002746	yes	yes	7.1008456534435	0.181950830530538	0.20095451894517	0.133883299651878	0.415728062969219	0.181950830530538	ControlvsLUAD
ENSG00000003147	yes	yes	1441.48481366816	0.150021563545877	0.153953248159206	0.175933711279024	0.482288081010771	0.150021563545877	ControlvsLUAD
ENSG00000003987	yes	yes	16.5559572236654	-0.0225027091317699	0.183562474224584	0.83910845691596	0.946333518151326	-0.0225027091317699	ControlvsLUAD
ENSG00000003989	yes	yes	17.348438284495	-0.475005098715562	0.272663325003903	0.0031852668364764	0.0388862884665257	-0.475005098715562	ControlvsLUAD
ENSG00000004848	yes	yes	3.30628669673346	-0.507719839219473	0.331219722826819	0.0040271565455877	0.0452866375161585	-0.507719839219473	ControlvsLUAD
ENSG00000004948	yes	yes	2.52051660109393	0.230562621647446	0.227723906623213	0.0738727302429641	0.292513482413188	0.230562621647446	ControlvsLUAD
ENSG00000005001	yes	yes	5.24283601366561	-0.116427384088112	0.184923982282756	0.311588152893108	0.636347986794879	-0.116427384088112	ControlvsLUAD
ENSG00000005073	yes	yes	1.23740039192192	-0.22843137506717	0.276888248236865	0.083201662994588	0.31152089319557	-0.22843137506717	ControlvsLUAD
ENSG00000005339	yes	yes	16308.7517708816	0.172369477006641	0.118158651360997	0.0755826522886399	0.295999335129028	0.172369477006641	ControlvsLUAD
ENSG00000005421	yes	yes	7.07838860074755	-0.163398199070334	0.183674126549032	0.165141953790198	0.465192977040351	-0.163398199070334	ControlvsLUAD
ENSG00000005471	yes	yes	228.413860042959	0.302390257211495	0.186107829319727	0.0159526695638437	0.114964415462104	0.302390257211495	ControlvsLUAD
ENSG00000005981	yes	yes	2.94039631632299	-0.207032456997261	0.213117697733985	0.0976510820497438	0.345197727497639	-0.207032456997261	ControlvsLUAD
ENSG00000006042	yes	yes	20.394372783719	-0.253291846939349	0.212575316830514	0.0492214738176238	0.23627359173353	-0.253291846939349	ControlvsLUAD
ENSG00000006047	yes	yes	4.92907924953698	0.0656888591645029	0.169242029900289	0.555146412942418	0.816990774107528	0.0656888591645029	ControlvsLUAD
ENSG00000006059	yes	yes	0.846703327113222	0.107065773699006	0.211592948476644	0.352103638540336	0.669205434839987	0.107065773699006	ControlvsLUAD
ENSG00000006071	yes	yes	5.68451673333065	0.0355520948067752	0.188678427876936	0.748834186944164	0.907313716846355	0.0355520948067752	ControlvsLUAD
ENSG00000006116	yes	yes	1.43637025430932	0.23751231047228	0.217494415565752	0.0641234990164926	0.273605775005794	0.23751231047228	ControlvsLUAD
ENSG00000006128	yes	yes	0.614891083807803	-0.198519494081247	0.296863937627101	0.114726512448355	NA	-0.198519494081247	ControlvsLUAD
ENSG00000006283	yes	yes	5.49177947575912	-0.149927975886122	0.15684293592851	0.179254449687577	0.486356363173339	-0.149927975886122	ControlvsLUAD
ENSG00000006377	yes	yes	1.47543587341467	-0.1951076377569	0.24563349396637	0.121691876436707	0.395066444490065	-0.1951076377569	ControlvsLUAD
ENSG00000006606	yes	yes	0.592440988759656	0.0332745506622204	0.231853807853094	0.752749188059404	NA	0.0332745506622204	ControlvsLUAD
ENSG00000006611	yes	yes	3.84553795990575	0.00406110195441384	0.188617449162899	0.970676304018767	0.988496970525004	0.00406110195441384	ControlvsLUAD
ENSG00000006659	yes	yes	1.40318803730881	0.122451418941179	0.192064791890002	0.291135309370059	0.615090648858022	0.122451418941179	ControlvsLUAD
ENSG00000006788	yes	yes	5.20656375679156	0.258935468414393	0.17986481153904	0.0334409376245212	0.185953134587839	0.258935468414393	ControlvsLUAD
ENSG00000007001	yes	yes	4.29292678741241	0.114985144566052	0.148633578546132	0.289597920011789	0.613177876820437	0.114985144566052	ControlvsLUAD
ENSG00000007174	yes	yes	11.635094543124	0.112141649357829	0.167544026112083	0.319700945413341	0.641830360921422	0.112141649357829	ControlvsLUAD
ENSG00000007202	yes	yes	235.816846206917	0.0162206762320239	0.119155486186049	0.867158061970596	0.95634294856011	0.0162206762320239	ControlvsLUAD
ENSG00000007216	yes	yes	1.98087163093791	-0.178217166881989	0.205887323175099	0.142856383436214	0.428187945816485	-0.178217166881989	ControlvsLUAD
ENSG00000007306	yes	yes	1.2204747208004	-1.04758509259336	0.58718991322135	0.000316513035385416	0.00733037663910656	-1.04758509259336	ControlvsLUAD
ENSG00000007312	yes	yes	487.423775988701	0.0225008763000309	0.160701253116123	0.837205767486926	0.946333518151326	0.0225008763000309	ControlvsLUAD
ENSG00000007372	yes	yes	5.25046906656475	0.230001225057344	0.177768628245316	0.0551189987202558	0.251932513987904	0.230001225057344	ControlvsLUAD
ENSG00000007866	yes	yes	16.0003522626199	-1.087954824736	0.273838018984258	5.99701589074911e-07	4.27691942811679e-05	-1.087954824736	ControlvsLUAD
ENSG00000007933	yes	yes	25.7884613573466	-0.167342609715567	0.164569818903391	0.142583898224952	0.427836831055898	-0.167342609715567	ControlvsLUAD
