gene_id_simplified	V1	V1V2shared
ENSG00000012504	yes	yes
ENSG00000013293	yes	yes
ENSG00000013588	yes	yes
ENSG00000015413	yes	yes
ENSG00000015520	yes	yes
ENSG00000015568	yes	yes
ENSG00000015592	yes	yes
ENSG00000016082	yes	yes
ENSG00000016391	yes	yes
ENSG00000016402	yes	yes
ENSG00000016490	yes	yes
ENSG00000016602	yes	yes
ENSG00000018236	yes	yes
ENSG00000018625	yes	yes
ENSG00000019186	yes	yes
ENSG00000019505	yes	yes
ENSG00000021461	yes	yes
ENSG00000021488	yes	yes
ENSG00000021852	yes	yes
ENSG00000022355	yes	yes
ENSG00000027644	yes	yes
ENSG00000029559	yes	yes
ENSG00000030304	yes	yes
ENSG00000033122	yes	yes
ENSG00000034239	yes	yes
ENSG00000034971	yes	yes
ENSG00000036473	yes	yes
ENSG00000036530	yes	yes
ENSG00000036672	yes	yes
ENSG00000036828	yes	yes
ENSG00000037965	yes	yes
ENSG00000039537	yes	yes
ENSG00000041515	yes	yes
ENSG00000042304	yes	yes
ENSG00000042781	yes	yes
ENSG00000042813	yes	yes
ENSG00000043039	yes	yes
ENSG00000043355	yes	yes
ENSG00000044012	yes	yes
ENSG00000044524	yes	yes
ENSG00000046653	yes	yes
ENSG00000046774	yes	yes
ENSG00000047662	yes	yes
ENSG00000048540	yes	yes
ENSG00000048545	yes	yes
ENSG00000049283	yes	yes
ENSG00000050767	yes	yes
ENSG00000052344	yes	yes
ENSG00000052850	yes	yes
ENSG00000053438	yes	yes
ENSG00000054179	yes	yes
ENSG00000054690	yes	yes
ENSG00000054796	yes	yes
ENSG00000054803	yes	yes
ENSG00000054938	yes	yes
ENSG00000055732	yes	yes
ENSG00000056291	yes	yes
ENSG00000056487	yes	yes
ENSG00000056998	yes	yes
ENSG00000057149	yes	yes
ENSG00000057593	yes	yes
ENSG00000058085	yes	yes
ENSG00000058404	yes	yes
ENSG00000060566	yes	yes
ENSG00000060656	yes	yes
ENSG00000060718	yes	yes
ENSG00000061455	yes	yes
ENSG00000061492	yes	yes
ENSG00000061656	yes	yes
ENSG00000062038	yes	yes
ENSG00000062096	yes	yes
ENSG00000063015	yes	yes
ENSG00000063515	yes	yes
ENSG00000063660	yes	yes
ENSG00000064195	yes	yes
ENSG00000064218	yes	yes
ENSG00000064300	yes	yes
ENSG00000064655	yes	yes
ENSG00000064835	yes	yes
ENSG00000065325	yes	yes
ENSG00000065361	yes	yes
ENSG00000065371	yes	yes
ENSG00000065609	yes	yes
ENSG00000065621	yes	yes
ENSG00000066032	yes	yes
ENSG00000066230	yes	yes
ENSG00000066405	yes	yes
ENSG00000066813	yes	yes
ENSG00000067842	yes	yes
ENSG00000068985	yes	yes
ENSG00000069011	yes	yes
ENSG00000069018	yes	yes
ENSG00000069206	yes	yes
ENSG00000069431	yes	yes
ENSG00000069482	yes	yes
ENSG00000069764	yes	yes
ENSG00000069812	yes	yes
ENSG00000070019	yes	yes
ENSG00000070193	yes	yes
ENSG00000070388	yes	yes
ENSG00000070601	yes	yes
ENSG00000070729	yes	yes
ENSG00000070748	yes	yes
ENSG00000070886	yes	NA
ENSG00000070985	yes	yes
ENSG00000071677	yes	yes
ENSG00000071991	yes	yes
ENSG00000072041	yes	yes
ENSG00000072080	yes	yes
ENSG00000072182	yes	yes
ENSG00000072315	yes	yes
ENSG00000072682	yes	yes
ENSG00000073067	yes	yes
ENSG00000073598	yes	NA
ENSG00000073670	yes	yes
ENSG00000073734	yes	yes
ENSG00000074047	yes	yes
ENSG00000074211	yes	yes
ENSG00000074276	yes	yes
ENSG00000074410	yes	yes
ENSG00000074771	yes	yes
ENSG00000074803	yes	yes
ENSG00000075035	yes	yes
ENSG00000075043	yes	yes
ENSG00000075290	yes	yes
ENSG00000075388	yes	yes
ENSG00000075429	yes	yes
ENSG00000075461	yes	yes
ENSG00000075643	yes	yes
ENSG00000075673	yes	yes
ENSG00000075886	yes	yes
ENSG00000075891	yes	yes
ENSG00000076344	yes	yes
ENSG00000077009	yes	yes
ENSG00000077080	yes	yes
ENSG00000077264	yes	yes
ENSG00000077274	yes	yes
ENSG00000077279	yes	yes
ENSG00000077327	yes	yes
ENSG00000077498	yes	yes
ENSG00000077522	yes	yes
ENSG00000077616	yes	yes
ENSG00000077800	yes	yes
ENSG00000078098	yes	yes
ENSG00000078295	yes	yes
ENSG00000078328	yes	yes
ENSG00000078549	yes	yes
ENSG00000078579	yes	yes
ENSG00000078725	yes	yes
ENSG00000078795	yes	NA
ENSG00000078898	yes	yes
ENSG00000079101	yes	yes
ENSG00000079112	yes	yes
ENSG00000079557	yes	yes
ENSG00000079689	yes	yes
ENSG00000080224	yes	yes
ENSG00000080293	yes	yes
ENSG00000080511	yes	yes
ENSG00000080572	yes	yes
ENSG00000080618	yes	yes
ENSG00000080644	yes	yes
ENSG00000080910	yes	yes
ENSG00000081051	yes	yes
ENSG00000081138	yes	yes
ENSG00000081248	yes	yes
ENSG00000081479	yes	yes
ENSG00000081800	yes	yes
ENSG00000081818	yes	yes
ENSG00000081842	yes	yes
ENSG00000081853	yes	yes
ENSG00000082126	yes	yes
ENSG00000082482	yes	yes
ENSG00000082556	yes	yes
ENSG00000083067	yes	yes
ENSG00000083307	yes	yes
ENSG00000083782	yes	yes
ENSG00000084628	yes	yes
ENSG00000085552	yes	NA
ENSG00000086159	yes	yes
ENSG00000086205	yes	yes
ENSG00000086696	yes	yes
ENSG00000086717	yes	yes
ENSG00000087128	yes	yes
ENSG00000087250	yes	yes
ENSG00000087494	yes	yes
ENSG00000087510	yes	yes
ENSG00000088002	yes	yes
ENSG00000088320	yes	yes
ENSG00000088386	yes	yes
ENSG00000088782	yes	yes
ENSG00000088926	yes	yes
ENSG00000089101	yes	yes
ENSG00000089116	yes	yes
ENSG00000089199	yes	yes
ENSG00000089225	yes	yes
ENSG00000089558	yes	yes
ENSG00000090402	yes	yes
ENSG00000090512	yes	yes
ENSG00000090534	yes	yes
ENSG00000090539	yes	yes
ENSG00000090932	yes	yes
ENSG00000091010	yes	yes
ENSG00000091128	yes	yes
ENSG00000091482	yes	yes
ENSG00000091536	yes	yes
ENSG00000091656	yes	yes
ENSG00000091664	yes	yes
ENSG00000092054	yes	yes
ENSG00000092345	yes	yes
ENSG00000092377	yes	yes
ENSG00000092607	yes	yes
ENSG00000092850	yes	yes
ENSG00000094661	yes	yes
ENSG00000094755	yes	yes
ENSG00000094796	yes	yes
ENSG00000095464	yes	yes
ENSG00000095539	yes	yes
ENSG00000095587	yes	yes
ENSG00000095596	yes	yes
ENSG00000095752	yes	yes
ENSG00000095777	yes	yes
ENSG00000095917	yes	yes
ENSG00000095970	yes	yes
ENSG00000095981	yes	yes
ENSG00000096088	yes	yes
ENSG00000096264	yes	yes
ENSG00000096395	yes	yes
ENSG00000099399	yes	yes
ENSG00000099617	yes	yes
ENSG00000099625	yes	NA
ENSG00000099715	yes	yes
ENSG00000099721	yes	yes
ENSG00000099769	yes	yes
ENSG00000099812	yes	yes
ENSG00000099834	yes	NA
ENSG00000099937	yes	NA
ENSG00000099957	yes	yes
ENSG00000099960	yes	yes
ENSG00000099994	yes	yes
ENSG00000100012	yes	yes
ENSG00000100053	yes	yes
ENSG00000100078	yes	yes
ENSG00000100121	yes	yes
ENSG00000100146	yes	yes
ENSG00000100156	yes	yes
ENSG00000100170	yes	yes
ENSG00000100196	yes	yes
ENSG00000100249	yes	yes
ENSG00000100253	yes	yes
ENSG00000100302	yes	yes
ENSG00000100312	yes	yes
ENSG00000100314	yes	yes
ENSG00000100341	yes	yes
ENSG00000100344	yes	yes
ENSG00000100565	yes	yes
ENSG00000100593	yes	yes
ENSG00000100604	yes	yes
ENSG00000100625	yes	yes
ENSG00000100652	yes	yes
ENSG00000100665	yes	yes
ENSG00000100739	yes	yes
ENSG00000100884	yes	yes
ENSG00000100987	yes	yes
ENSG00000101049	yes	yes
ENSG00000101074	yes	yes
ENSG00000101076	yes	yes
ENSG00000101098	yes	yes
ENSG00000101115	yes	yes
ENSG00000101134	yes	yes
ENSG00000101144	yes	yes
ENSG00000101180	yes	yes
ENSG00000101198	yes	yes
ENSG00000101200	yes	yes
ENSG00000101203	yes	yes
ENSG00000101222	yes	yes
ENSG00000101251	yes	yes
ENSG00000101276	yes	yes
ENSG00000101280	yes	yes
ENSG00000101282	yes	yes
ENSG00000101292	yes	yes
ENSG00000101306	yes	yes
ENSG00000101311	yes	yes
ENSG00000101323	yes	yes
ENSG00000101327	yes	yes
ENSG00000101405	yes	yes
ENSG00000101435	yes	yes
ENSG00000101438	yes	yes
ENSG00000101440	yes	yes
ENSG00000101441	yes	yes
ENSG00000101446	yes	yes
ENSG00000101448	yes	yes
ENSG00000101463	yes	yes
ENSG00000101489	yes	yes
ENSG00000101670	yes	yes
ENSG00000101680	yes	yes
ENSG00000101746	yes	yes
ENSG00000101812	yes	yes
ENSG00000101825	yes	yes
ENSG00000101850	yes	yes
ENSG00000101883	yes	yes
ENSG00000101890	yes	yes
ENSG00000101892	yes	yes
ENSG00000101938	yes	yes
ENSG00000101951	yes	yes
ENSG00000101981	yes	yes
ENSG00000102003	yes	yes
ENSG00000102021	yes	yes
ENSG00000102076	yes	NA
ENSG00000102104	yes	yes
ENSG00000102128	yes	yes
ENSG00000102195	yes	yes
ENSG00000102239	yes	yes
ENSG00000102243	yes	yes
ENSG00000102290	yes	yes
ENSG00000102313	yes	yes
ENSG00000102359	yes	yes
ENSG00000102452	yes	yes
ENSG00000102466	yes	yes
ENSG00000102539	yes	yes
ENSG00000102678	yes	yes
ENSG00000102683	yes	yes
ENSG00000102854	yes	yes
ENSG00000102891	yes	yes
ENSG00000102924	yes	yes
ENSG00000102962	yes	yes
ENSG00000102970	yes	yes
ENSG00000103023	yes	yes
ENSG00000103067	yes	yes
ENSG00000103089	yes	yes
ENSG00000103269	yes	yes
ENSG00000103310	yes	yes
ENSG00000103375	yes	yes
ENSG00000103449	yes	yes
ENSG00000103460	yes	yes
ENSG00000103546	yes	yes
ENSG00000103710	yes	yes
ENSG00000103742	yes	yes
ENSG00000104044	yes	yes
ENSG00000104055	yes	yes
ENSG00000104112	yes	yes
ENSG00000104140	yes	yes
ENSG00000104213	yes	yes
ENSG00000104237	yes	yes
ENSG00000104327	yes	yes
ENSG00000104332	yes	yes
ENSG00000104369	yes	yes
ENSG00000104371	yes	yes
ENSG00000104413	yes	yes
ENSG00000104435	yes	yes
ENSG00000104499	yes	yes
ENSG00000104537	yes	yes
ENSG00000104755	yes	yes
ENSG00000104760	yes	yes
ENSG00000104804	yes	yes
ENSG00000104808	yes	yes
ENSG00000104818	yes	yes
ENSG00000104826	yes	yes
ENSG00000104848	yes	yes
ENSG00000104888	yes	NA
ENSG00000104901	yes	yes
ENSG00000104941	yes	yes
ENSG00000104953	yes	yes
ENSG00000105131	yes	yes
ENSG00000105141	yes	yes
ENSG00000105143	yes	yes
ENSG00000105198	yes	yes
ENSG00000105219	yes	yes
ENSG00000105261	yes	yes
ENSG00000105290	yes	yes
ENSG00000105388	yes	yes
ENSG00000105392	yes	yes
ENSG00000105398	yes	yes
ENSG00000105419	yes	yes
ENSG00000105428	yes	yes
ENSG00000105467	yes	yes
ENSG00000105509	yes	yes
ENSG00000105523	yes	yes
ENSG00000105549	yes	yes
ENSG00000105550	yes	yes
ENSG00000105605	yes	yes
ENSG00000105641	yes	yes
ENSG00000105642	yes	yes
ENSG00000105650	yes	yes
ENSG00000105664	yes	yes
ENSG00000105668	yes	yes
ENSG00000105675	yes	NA
ENSG00000105679	yes	NA
ENSG00000105696	yes	NA
ENSG00000105792	yes	yes
ENSG00000105852	yes	yes
ENSG00000105880	yes	yes
ENSG00000105894	yes	yes
ENSG00000105929	yes	yes
ENSG00000105954	yes	yes
ENSG00000106006	yes	yes
ENSG00000106031	yes	yes
ENSG00000106038	yes	yes
ENSG00000106113	yes	yes
ENSG00000106128	yes	yes
ENSG00000106178	yes	yes
ENSG00000106236	yes	yes
ENSG00000106258	yes	yes
ENSG00000106278	yes	yes
ENSG00000106302	yes	yes
ENSG00000106304	yes	yes
ENSG00000106328	yes	yes
ENSG00000106331	yes	yes
ENSG00000106384	yes	yes
ENSG00000106410	yes	yes
ENSG00000106436	yes	yes
ENSG00000106483	yes	yes
ENSG00000106536	yes	yes
ENSG00000106631	yes	yes
ENSG00000106633	yes	yes
ENSG00000106648	yes	yes
ENSG00000106819	yes	yes
ENSG00000106823	yes	yes
ENSG00000107105	yes	yes
ENSG00000107147	yes	yes
ENSG00000107159	yes	NA
ENSG00000107165	yes	yes
ENSG00000107187	yes	yes
ENSG00000107295	yes	yes
ENSG00000107593	yes	yes
ENSG00000107807	yes	yes
ENSG00000107821	yes	yes
ENSG00000107831	yes	yes
ENSG00000107859	yes	yes
ENSG00000107984	yes	yes
ENSG00000108018	yes	yes
ENSG00000108176	yes	yes
ENSG00000108231	yes	yes
ENSG00000108242	yes	yes
ENSG00000108255	yes	yes
ENSG00000108342	yes	yes
ENSG00000108379	yes	yes
ENSG00000108381	yes	yes
ENSG00000108417	yes	yes
ENSG00000108684	yes	yes
ENSG00000108688	yes	yes
ENSG00000108700	yes	yes
ENSG00000108702	yes	yes
ENSG00000108759	yes	yes
ENSG00000108813	yes	yes
ENSG00000108849	yes	yes
ENSG00000108878	yes	yes
ENSG00000108947	yes	yes
ENSG00000109047	yes	yes
ENSG00000109061	yes	yes
ENSG00000109101	yes	yes
ENSG00000109132	yes	yes
ENSG00000109158	yes	yes
ENSG00000109163	yes	yes
ENSG00000109181	yes	yes
ENSG00000109182	yes	yes
ENSG00000109193	yes	yes
ENSG00000109205	yes	yes
ENSG00000109208	yes	yes
ENSG00000109255	yes	yes
ENSG00000109424	yes	yes
ENSG00000109471	yes	yes
ENSG00000109472	yes	yes
ENSG00000109511	yes	yes
ENSG00000109576	yes	NA
ENSG00000109610	yes	yes
ENSG00000109625	yes	yes
ENSG00000109705	yes	yes
ENSG00000109738	yes	yes
ENSG00000109758	yes	yes
ENSG00000109771	yes	yes
ENSG00000109819	yes	yes
ENSG00000109832	yes	yes
ENSG00000109851	yes	yes
ENSG00000109991	yes	yes
ENSG00000110148	yes	yes
ENSG00000110169	yes	yes
ENSG00000110195	yes	yes
ENSG00000110243	yes	yes
ENSG00000110244	yes	yes
ENSG00000110427	yes	yes
ENSG00000110484	yes	yes
ENSG00000110675	yes	yes
ENSG00000110680	yes	yes
ENSG00000110881	yes	yes
ENSG00000110887	yes	yes
ENSG00000110900	yes	yes
ENSG00000110975	yes	yes
ENSG00000111012	yes	yes
ENSG00000111046	yes	yes
ENSG00000111049	yes	yes
ENSG00000111218	yes	yes
ENSG00000111241	yes	yes
ENSG00000111262	yes	yes
ENSG00000111291	yes	yes
ENSG00000111305	yes	yes
ENSG00000111404	yes	yes
ENSG00000111405	yes	yes
ENSG00000111432	yes	yes
ENSG00000111536	yes	yes
ENSG00000111664	yes	yes
ENSG00000111700	yes	yes
ENSG00000111701	yes	yes
ENSG00000111704	yes	yes
ENSG00000111732	yes	yes
ENSG00000111783	yes	yes
ENSG00000111799	yes	yes
ENSG00000111816	yes	yes
ENSG00000111886	yes	yes
ENSG00000111981	yes	yes
ENSG00000112038	yes	yes
ENSG00000112041	yes	yes
ENSG00000112115	yes	yes
ENSG00000112116	yes	yes
ENSG00000112164	yes	yes
ENSG00000112175	yes	yes
ENSG00000112183	yes	yes
ENSG00000112214	yes	yes
ENSG00000112218	yes	yes
ENSG00000112238	yes	yes
ENSG00000112246	yes	yes
ENSG00000112273	yes	yes
ENSG00000112280	yes	yes
ENSG00000112309	yes	NA
ENSG00000112319	yes	yes
ENSG00000112337	yes	NA
ENSG00000112462	yes	yes
ENSG00000112494	yes	yes
ENSG00000112499	yes	yes
ENSG00000112539	yes	yes
ENSG00000112562	yes	yes
ENSG00000112599	yes	yes
ENSG00000112619	yes	yes
ENSG00000112706	yes	yes
ENSG00000112818	yes	yes
ENSG00000112837	yes	yes
ENSG00000112852	yes	yes
ENSG00000112981	yes	yes
ENSG00000113073	yes	yes
ENSG00000113100	yes	yes
ENSG00000113196	yes	yes
ENSG00000113205	yes	yes
ENSG00000113209	yes	yes
ENSG00000113211	yes	yes
ENSG00000113212	yes	yes
ENSG00000113248	yes	yes
ENSG00000113262	yes	yes
ENSG00000113302	yes	yes
ENSG00000113327	yes	yes
ENSG00000113396	yes	yes
ENSG00000113430	yes	yes
ENSG00000113492	yes	yes
ENSG00000113494	yes	yes
ENSG00000113520	yes	yes
ENSG00000113525	yes	yes
ENSG00000113578	yes	yes
ENSG00000113600	yes	yes
ENSG00000113722	yes	yes
ENSG00000113763	yes	yes
ENSG00000113805	yes	yes
ENSG00000114113	yes	yes
ENSG00000114124	yes	yes
ENSG00000114200	yes	yes
ENSG00000114204	yes	yes
ENSG00000114248	yes	yes
ENSG00000114251	yes	yes
ENSG00000114270	yes	yes
ENSG00000114349	yes	yes
ENSG00000114547	yes	yes
ENSG00000114638	yes	yes
ENSG00000114646	yes	yes
ENSG00000114757	yes	yes
ENSG00000114771	yes	yes
ENSG00000115008	yes	yes
ENSG00000115009	yes	yes
ENSG00000115041	yes	yes
ENSG00000115194	yes	yes
ENSG00000115221	yes	yes
ENSG00000115263	yes	yes
ENSG00000115297	yes	yes
ENSG00000115353	yes	yes
ENSG00000115361	yes	yes
ENSG00000115474	yes	yes
ENSG00000115488	yes	yes
ENSG00000115592	yes	yes
ENSG00000115593	yes	yes
ENSG00000115598	yes	yes
ENSG00000115616	yes	yes
ENSG00000115665	yes	NA
ENSG00000115844	yes	yes
ENSG00000115850	yes	yes
ENSG00000116032	yes	NA
ENSG00000116035	yes	yes
ENSG00000116039	yes	yes
ENSG00000116132	yes	yes
ENSG00000116141	yes	yes
ENSG00000116147	yes	yes
ENSG00000116176	yes	yes
ENSG00000116183	yes	yes
ENSG00000116194	yes	NA
ENSG00000116218	yes	yes
ENSG00000116254	yes	yes
ENSG00000116329	yes	yes
ENSG00000116703	yes	yes
ENSG00000116721	yes	yes
ENSG00000116726	yes	yes
ENSG00000116745	yes	yes
ENSG00000116748	yes	yes
ENSG00000116774	yes	yes
ENSG00000116783	yes	yes
ENSG00000116785	yes	yes
ENSG00000116882	yes	yes
ENSG00000116981	yes	yes
ENSG00000116996	yes	yes
ENSG00000117069	yes	yes
ENSG00000117122	yes	yes
ENSG00000117148	yes	yes
ENSG00000117152	yes	yes
ENSG00000117215	yes	yes
ENSG00000117407	yes	yes
ENSG00000117425	yes	yes
ENSG00000117472	yes	yes
ENSG00000117477	yes	yes
ENSG00000117501	yes	yes
ENSG00000117525	yes	yes
ENSG00000117594	yes	yes
ENSG00000117598	yes	yes
ENSG00000117600	yes	yes
ENSG00000117971	yes	yes
ENSG00000118004	yes	yes
ENSG00000118017	yes	yes
ENSG00000118094	yes	yes
ENSG00000118194	yes	yes
ENSG00000118231	yes	yes
ENSG00000118245	yes	yes
ENSG00000118298	yes	yes
ENSG00000118322	yes	yes
ENSG00000118402	yes	yes
ENSG00000118434	yes	yes
ENSG00000118491	yes	yes
ENSG00000118514	yes	yes
ENSG00000118526	yes	yes
ENSG00000118702	yes	yes
ENSG00000118729	yes	yes
ENSG00000118972	yes	yes
ENSG00000119125	yes	yes
ENSG00000119547	yes	yes
ENSG00000119614	yes	yes
ENSG00000119703	yes	yes
ENSG00000119715	yes	yes
ENSG00000119913	yes	yes
ENSG00000119915	yes	yes
ENSG00000119946	yes	yes
ENSG00000119973	yes	yes
ENSG00000120054	yes	yes
ENSG00000120057	yes	yes
ENSG00000120068	yes	yes
ENSG00000120094	yes	yes
ENSG00000120149	yes	yes
ENSG00000120160	yes	yes
ENSG00000120210	yes	yes
ENSG00000120211	yes	yes
ENSG00000120215	yes	yes
ENSG00000120235	yes	yes
ENSG00000120242	yes	yes
ENSG00000120251	yes	yes
ENSG00000120289	yes	yes
ENSG00000120322	yes	yes
ENSG00000120324	yes	yes
ENSG00000120327	yes	yes
ENSG00000120328	yes	yes
ENSG00000120329	yes	yes
ENSG00000120332	yes	yes
ENSG00000120436	yes	yes
ENSG00000120440	yes	yes
ENSG00000120457	yes	yes
ENSG00000120471	yes	yes
ENSG00000120498	yes	yes
ENSG00000120500	yes	yes
ENSG00000120563	yes	yes
ENSG00000120658	yes	yes
ENSG00000120659	yes	yes
ENSG00000120669	yes	yes
ENSG00000120729	yes	yes
ENSG00000120820	yes	yes
ENSG00000120907	yes	yes
ENSG00000120937	yes	yes
ENSG00000120952	yes	yes
ENSG00000121075	yes	yes
ENSG00000121207	yes	yes
ENSG00000121270	yes	yes
ENSG00000121314	yes	yes
ENSG00000121318	yes	yes
ENSG00000121335	yes	yes
ENSG00000121351	yes	yes
ENSG00000121361	yes	yes
ENSG00000121377	yes	yes
ENSG00000121381	yes	yes
ENSG00000121446	yes	yes
ENSG00000121454	yes	yes
ENSG00000121634	yes	yes
ENSG00000121743	yes	yes
ENSG00000121764	yes	yes
ENSG00000121853	yes	yes
ENSG00000121871	yes	yes
ENSG00000121904	yes	yes
ENSG00000122012	yes	NA
ENSG00000122133	yes	yes
ENSG00000122136	yes	yes
ENSG00000122145	yes	yes
ENSG00000122180	yes	yes
ENSG00000122194	yes	yes
ENSG00000122304	yes	yes
ENSG00000122367	yes	yes
ENSG00000122375	yes	yes
ENSG00000122420	yes	yes
ENSG00000122543	yes	yes
ENSG00000122584	yes	yes
ENSG00000122585	yes	yes
ENSG00000122711	yes	yes
ENSG00000122728	yes	yes
ENSG00000122733	yes	yes
ENSG00000122735	yes	yes
ENSG00000122756	yes	yes
ENSG00000122787	yes	yes
ENSG00000122852	yes	yes
ENSG00000122859	yes	yes
ENSG00000122870	yes	yes
ENSG00000123165	yes	yes
ENSG00000123171	yes	yes
ENSG00000123307	yes	yes
ENSG00000123342	yes	yes
ENSG00000123364	yes	yes
ENSG00000123388	yes	yes
ENSG00000123407	yes	yes
ENSG00000123454	yes	yes
ENSG00000123561	yes	yes
ENSG00000123569	yes	yes
ENSG00000123572	yes	yes
ENSG00000123576	yes	yes
ENSG00000123594	yes	yes
ENSG00000123843	yes	yes
ENSG00000123901	yes	yes
ENSG00000123977	yes	yes
ENSG00000123999	yes	yes
